time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,institution_type,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,HEI,Degree Class,Lower Second,2,33
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,HEI,Degree Class,Other,1,17
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried PGTA,SCITT,Degree Class,Total Known,2,100
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried PGTA,SCITT,Degree Class,First,0,0
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried PGTA,SCITT,Degree Class,Upper Second,1,50
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried PGTA,SCITT,Degree Class,Lower Second,1,50
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried PGTA,SCITT,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried PGTA,HEI,Degree Class,Total Known,1,100
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried PGTA,HEI,Degree Class,First,0,0
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried PGTA,HEI,Degree Class,Upper Second,0,0
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried PGTA,HEI,Degree Class,Lower Second,0,0
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried PGTA,HEI,Degree Class,Other,1,100
201920,Academic year,National,E92000001,England,Chemistry,Postgraduate Total,Total,Degree Class,Total Known,763,100
201920,Academic year,National,E92000001,England,Chemistry,Postgraduate Total,Total,Degree Class,First,174,23
201920,Academic year,National,E92000001,England,Chemistry,Postgraduate Total,Total,Degree Class,Upper Second,340,45
201920,Academic year,National,E92000001,England,Chemistry,Postgraduate Total,Total,Degree Class,Lower Second,199,26
201920,Academic year,National,E92000001,England,Chemistry,Postgraduate Total,Total,Degree Class,Other,50,7
201920,Academic year,National,E92000001,England,Classics,PG fee-funded,HEI,Degree Class,Total Known,60,100
201920,Academic year,National,E92000001,England,Classics,PG fee-funded,HEI,Degree Class,First,19,32
201920,Academic year,National,E92000001,England,Classics,PG fee-funded,HEI,Degree Class,Upper Second,30,50
201920,Academic year,National,E92000001,England,Classics,PG fee-funded,HEI,Degree Class,Lower Second,6,10
201920,Academic year,National,E92000001,England,Classics,PG fee-funded,HEI,Degree Class,Other,5,8
201920,Academic year,National,E92000001,England,Classics,PG fee-funded,SCITT,Degree Class,Total Known,14,100
201920,Academic year,National,E92000001,England,Classics,PG fee-funded,SCITT,Degree Class,First,6,43
201920,Academic year,National,E92000001,England,Classics,PG fee-funded,SCITT,Degree Class,Upper Second,6,43
201920,Academic year,National,E92000001,England,Classics,PG fee-funded,SCITT,Degree Class,Lower Second,2,14
201920,Academic year,National,E92000001,England,Classics,PG fee-funded,SCITT,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Classics,PG Salaried PGTA,SCITT,Degree Class,Total Known,1,100
201920,Academic year,National,E92000001,England,Classics,PG Salaried PGTA,SCITT,Degree Class,First,0,0
201920,Academic year,National,E92000001,England,Classics,PG Salaried PGTA,SCITT,Degree Class,Upper Second,1,100
201920,Academic year,National,E92000001,England,Classics,PG Salaried PGTA,SCITT,Degree Class,Lower Second,0,0
201920,Academic year,National,E92000001,England,Classics,PG Salaried PGTA,SCITT,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Classics,Postgraduate Total,Total,Degree Class,Total Known,75,100
201920,Academic year,National,E92000001,England,Classics,Postgraduate Total,Total,Degree Class,First,25,33
201920,Academic year,National,E92000001,England,Classics,Postgraduate Total,Total,Degree Class,Upper Second,37,49
201920,Academic year,National,E92000001,England,Classics,Postgraduate Total,Total,Degree Class,Lower Second,8,11
201920,Academic year,National,E92000001,England,Classics,Postgraduate Total,Total,Degree Class,Other,5,7
201920,Academic year,National,E92000001,England,Computing,PG fee-funded,SCITT,Degree Class,Total Known,137,100
201920,Academic year,National,E92000001,England,Computing,PG fee-funded,SCITT,Degree Class,First,37,27
201920,Academic year,National,E92000001,England,Computing,PG fee-funded,SCITT,Degree Class,Upper Second,55,40
201920,Academic year,National,E92000001,England,Computing,PG fee-funded,SCITT,Degree Class,Lower Second,39,28
201920,Academic year,National,E92000001,England,Computing,PG fee-funded,SCITT,Degree Class,Other,6,4
201920,Academic year,National,E92000001,England,Computing,PG fee-funded,HEI,Degree Class,Total Known,314,100
201920,Academic year,National,E92000001,England,Computing,PG fee-funded,HEI,Degree Class,First,67,21
201920,Academic year,National,E92000001,England,Computing,PG fee-funded,HEI,Degree Class,Upper Second,137,44
201920,Academic year,National,E92000001,England,Computing,PG fee-funded,HEI,Degree Class,Lower Second,93,30
201920,Academic year,National,E92000001,England,Computing,PG fee-funded,HEI,Degree Class,Other,17,5
201920,Academic year,National,E92000001,England,Computing,PG Salaried High Potential ITT,HEI,Degree Class,Total Known,7,100
201920,Academic year,National,E92000001,England,Computing,PG Salaried High Potential ITT,HEI,Degree Class,First,2,29
201920,Academic year,National,E92000001,England,Computing,PG Salaried High Potential ITT,HEI,Degree Class,Upper Second,5,71
201920,Academic year,National,E92000001,England,Computing,PG Salaried High Potential ITT,HEI,Degree Class,Lower Second,0,0
201920,Academic year,National,E92000001,England,Computing,PG Salaried High Potential ITT,HEI,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,HEI,Degree Class,Total Known,5,100
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,HEI,Degree Class,First,1,20
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,HEI,Degree Class,Upper Second,0,0
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,HEI,Degree Class,Lower Second,2,40
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,HEI,Degree Class,Other,2,40
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,SCITT,Degree Class,Total Known,5,100
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,SCITT,Degree Class,First,1,20
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,SCITT,Degree Class,Upper Second,1,20
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,SCITT,Degree Class,Lower Second,1,20
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,SCITT,Degree Class,Other,2,40
201920,Academic year,National,E92000001,England,Computing,Postgraduate Total,Total,Degree Class,Total Known,468,100
201920,Academic year,National,E92000001,England,Computing,Postgraduate Total,Total,Degree Class,First,108,23
201920,Academic year,National,E92000001,England,Computing,Postgraduate Total,Total,Degree Class,Upper Second,198,42
201920,Academic year,National,E92000001,England,Computing,Postgraduate Total,Total,Degree Class,Lower Second,135,29
201920,Academic year,National,E92000001,England,Computing,Postgraduate Total,Total,Degree Class,Other,27,6
201920,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,HEI,Degree Class,Total Known,249,100
