time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,English,PG Salaried Postgraduate Teaching Apprenticeship,Total,9,0
201920,Academic year,National,E92000001,England,English,PG Salaried School Direct,Higher Education Institution,91,3
201920,Academic year,National,E92000001,England,English,PG Salaried School Direct,School Centred ITT,135,5
201920,Academic year,National,E92000001,England,English,PG Salaried School Direct,Total,226,8
201920,Academic year,National,E92000001,England,English,Undergraduate Fee-Funded,Total,155,100
201920,Academic year,National,E92000001,England,English,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,English,Undergraduate Total,Total,155,5
201920,Academic year,National,E92000001,England,English,Postgraduate Salaried Total,Total,610,21
201920,Academic year,National,E92000001,England,English,Postgraduate Total,Total,2939,95
201920,Academic year,National,E92000001,England,Geography,Total,Total,1328,100
201920,Academic year,National,E92000001,England,Geography,PG Salaried High Potential ITT,Higher Education Institution,100,8
201920,Academic year,National,E92000001,England,Geography,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Geography,PG Salaried High Potential ITT,Total,100,8
201920,Academic year,National,E92000001,England,Geography,PG Fee-Funded,Higher Education Institution,858,65
201920,Academic year,National,E92000001,England,Geography,PG Fee-Funded,School Centred ITT,355,27
201920,Academic year,National,E92000001,England,Geography,PG Fee-Funded,Total,1213,91
201920,Academic year,National,E92000001,England,Geography,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,1,0
201920,Academic year,National,E92000001,England,Geography,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,2,0
201920,Academic year,National,E92000001,England,Geography,PG Salaried Postgraduate Teaching Apprenticeship,Total,3,0
201920,Academic year,National,E92000001,England,Geography,PG Salaried School Direct,Higher Education Institution,3,0
201920,Academic year,National,E92000001,England,Geography,PG Salaried School Direct,School Centred ITT,9,1
201920,Academic year,National,E92000001,England,Geography,PG Salaried School Direct,Total,12,1
201920,Academic year,National,E92000001,England,Geography,Undergraduate Fee-Funded,Total,0,null
201920,Academic year,National,E92000001,England,Geography,Undergraduate Teacher Degree Apprenticeship,Total,0,null
201920,Academic year,National,E92000001,England,Geography,Undergraduate Total,Total,0,0
201920,Academic year,National,E92000001,England,Geography,Postgraduate Salaried Total,Total,115,9
201920,Academic year,National,E92000001,England,Geography,Postgraduate Total,Total,1328,100
201920,Academic year,National,E92000001,England,History,Total,Total,1477,100
201920,Academic year,National,E92000001,England,History,PG Salaried High Potential ITT,Higher Education Institution,113,8
201920,Academic year,National,E92000001,England,History,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,History,PG Salaried High Potential ITT,Total,113,8
201920,Academic year,National,E92000001,England,History,PG Fee-Funded,Higher Education Institution,932,63
201920,Academic year,National,E92000001,England,History,PG Fee-Funded,School Centred ITT,359,24
201920,Academic year,National,E92000001,England,History,PG Fee-Funded,Total,1291,87
201920,Academic year,National,E92000001,England,History,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,1,0
201920,Academic year,National,E92000001,England,History,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,1,0
201920,Academic year,National,E92000001,England,History,PG Salaried Postgraduate Teaching Apprenticeship,Total,2,0
201920,Academic year,National,E92000001,England,History,PG Salaried School Direct,Higher Education Institution,26,2
201920,Academic year,National,E92000001,England,History,PG Salaried School Direct,School Centred ITT,44,3
201920,Academic year,National,E92000001,England,History,PG Salaried School Direct,Total,70,5
201920,Academic year,National,E92000001,England,History,Undergraduate Fee-Funded,Total,1,100
201920,Academic year,National,E92000001,England,History,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,History,Undergraduate Total,Total,1,0
201920,Academic year,National,E92000001,England,History,Postgraduate Salaried Total,Total,185,13
201920,Academic year,National,E92000001,England,History,Postgraduate Total,Total,1476,100
201920,Academic year,National,E92000001,England,Mathematics,Total,Total,2277,100
201920,Academic year,National,E92000001,England,Mathematics,PG Salaried High Potential ITT,Higher Education Institution,214,10
201920,Academic year,National,E92000001,England,Mathematics,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Mathematics,PG Salaried High Potential ITT,Total,214,10
201920,Academic year,National,E92000001,England,Mathematics,PG Fee-Funded,Higher Education Institution,1321,60
201920,Academic year,National,E92000001,England,Mathematics,PG Fee-Funded,School Centred ITT,524,24
201920,Academic year,National,E92000001,England,Mathematics,PG Fee-Funded,Total,1845,84
201920,Academic year,National,E92000001,England,Mathematics,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,1,0
201920,Academic year,National,E92000001,England,Mathematics,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,4,0
201920,Academic year,National,E92000001,England,Mathematics,PG Salaried Postgraduate Teaching Apprenticeship,Total,5,0
201920,Academic year,National,E92000001,England,Mathematics,PG Salaried School Direct,Higher Education Institution,43,2
201920,Academic year,National,E92000001,England,Mathematics,PG Salaried School Direct,School Centred ITT,90,4
201920,Academic year,National,E92000001,England,Mathematics,PG Salaried School Direct,Total,133,6
201920,Academic year,National,E92000001,England,Mathematics,Undergraduate Fee-Funded,Total,80,100
201920,Academic year,National,E92000001,England,Mathematics,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Mathematics,Undergraduate Total,Total,80,4
201920,Academic year,National,E92000001,England,Mathematics,Postgraduate Salaried Total,Total,352,16
201920,Academic year,National,E92000001,England,Mathematics,Postgraduate Total,Total,2197,96
201920,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Total,1444,100
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried High Potential ITT,Higher Education Institution,93,7
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried High Potential ITT,Total,93,7
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Fee-Funded,Higher Education Institution,934,66
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Fee-Funded,School Centred ITT,359,25
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Fee-Funded,Total,1293,91
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried Postgraduate Teaching Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried School Direct,Higher Education Institution,6,0
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried School Direct,School Centred ITT,27,2
201920,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried School Direct,Total,33,2
201920,Academic year,National,E92000001,England,Modern Foreign Languages,Undergraduate Fee-Funded,Total,25,100
201920,Academic year,National,E92000001,England,Modern Foreign Languages,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Modern Foreign Languages,Undergraduate Total,Total,25,2
201920,Academic year,National,E92000001,England,Modern Foreign Languages,Postgraduate Salaried Total,Total,126,9
201920,Academic year,National,E92000001,England,Modern Foreign Languages,Postgraduate Total,Total,1419,98
201920,Academic year,National,E92000001,England,Music,Total,Total,329,100
201920,Academic year,National,E92000001,England,Music,PG Salaried High Potential ITT,Higher Education Institution,11,3
201920,Academic year,National,E92000001,England,Music,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Music,PG Salaried High Potential ITT,Total,11,3
201920,Academic year,National,E92000001,England,Music,PG Fee-Funded,Higher Education Institution,218,66
