time_period,time_identifier,geographic_level,country_code,country_name,ethnic_group_recorded,ethnic_background_recorded,trainee_number,trainee_percentage
202425,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Total,1569,7
202425,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Unknown,1,0
202425,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black Caribbean,218,1
202425,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Any other Mixed / Multiple ethnic background,343,1
202425,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black African,85,0
202425,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Asian,318,1
202425,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Total,965,4
202425,Academic year,National,E92000001,England,Other ethnic group,Any other ethnic group,287,1
202425,Academic year,National,E92000001,England,Other ethnic group,Arab,268,1
202425,Academic year,National,E92000001,England,Other ethnic group,Roma,1,0
202425,Academic year,National,E92000001,England,Other ethnic group,Unknown,3,0
202425,Academic year,National,E92000001,England,Other ethnic group,Total,559,2
202425,Academic year,National,E92000001,England,White,African,1,0
202425,Academic year,National,E92000001,England,White,Irish,300,1
202425,Academic year,National,E92000001,England,White,English / Welsh / Scottish / Northern Irish / British,15063,66
202425,Academic year,National,E92000001,England,White,Roma,17,0
202425,Academic year,National,E92000001,England,White,Any other White background,1095,5
202425,Academic year,National,E92000001,England,White,Unknown,1,0
202425,Academic year,National,E92000001,England,White,Gypsy or Irish Traveller,1,0
202425,Academic year,National,E92000001,England,White,Total,16478,72
202526,Academic year,National,E92000001,England,Asian / Asian British,Indian,933,4
202526,Academic year,National,E92000001,England,Asian / Asian British,Chinese,363,1
202526,Academic year,National,E92000001,England,Asian / Asian British,Pakistani,1620,6
202526,Academic year,National,E92000001,England,Asian / Asian British,Any other Asian background,461,2
202526,Academic year,National,E92000001,England,Asian / Asian British,Unknown,5,0
202526,Academic year,National,E92000001,England,Asian / Asian British,Bangladeshi,632,2
202526,Academic year,National,E92000001,England,Asian / Asian British,Total,4014,16
202526,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Unknown,3,0
202526,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,African,1617,6
202526,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Any other Black / African / Caribbean background,121,0
202526,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Caribbean,306,1
202526,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Total,2047,8
202526,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Any other Mixed / Multiple ethnic background,428,2
202526,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black African,109,0
202526,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Asian,342,1
202526,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black Caribbean,259,1
202526,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Total,1138,4
202526,Academic year,National,E92000001,England,Other ethnic group,Arab,289,1
202526,Academic year,National,E92000001,England,Other ethnic group,Pakistani,1,0
202526,Academic year,National,E92000001,England,Other ethnic group,Unknown,3,0
202526,Academic year,National,E92000001,England,Other ethnic group,Any other ethnic group,345,1
202526,Academic year,National,E92000001,England,Other ethnic group,Total,638,3
202526,Academic year,National,E92000001,England,White,Any other White background,1253,5
202526,Academic year,National,E92000001,England,White,Irish,289,1
202526,Academic year,National,E92000001,England,White,English / Welsh / Scottish / Northern Irish / British,15949,63
202526,Academic year,National,E92000001,England,White,Unknown,2,0
202526,Academic year,National,E92000001,England,White,Roma,13,0
202526,Academic year,National,E92000001,England,White,Gypsy or Irish Traveller,12,0
202526,Academic year,National,E92000001,England,White,Total,17518,69
