time_period,time_identifier,geographic_level,country_code,country_name,itt_level,breakdown_topic,breakdown,trainee_number,trainee_percentage
201617,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Mixed / Multiple ethnic groups,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Other ethnic group,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Ethnicity,White,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Total Known Ethnicity,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Age,Under 25,4681,91
201617,Academic year,National,E92000001,England,Undergraduate,Age,25 to 29,213,4
201617,Academic year,National,E92000001,England,Undergraduate,Age,30 to 34,102,2
201617,Academic year,National,E92000001,England,Undergraduate,Age,35 to 39,74,1
201617,Academic year,National,E92000001,England,Undergraduate,Age,40 to 44,49,1
201617,Academic year,National,E92000001,England,Undergraduate,Age,45 to 49,22,0
201617,Academic year,National,E92000001,England,Undergraduate,Age,50 to 54,6,0
201617,Academic year,National,E92000001,England,Undergraduate,Age,55 and over,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Disability,Declared,479,9
201617,Academic year,National,E92000001,England,Undergraduate,Disability,No Disability Declared,4668,91
201617,Academic year,National,E92000001,England,Undergraduate,Disability,Total Known Disability,5147,100
201617,Academic year,National,E92000001,England,Undergraduate,Nationality,UK,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Nationality,EEA,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Nationality,Other Nationality,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Nationality,Total Known Nationality,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Degree Class,First,z,z
201617,Academic year,National,E92000001,England,Undergraduate,Degree Class,Upper Second,z,z
201617,Academic year,National,E92000001,England,Undergraduate,Degree Class,Upper Second Class Degree or Better,z,z
201617,Academic year,National,E92000001,England,Undergraduate,Degree Class,Lower Second,z,z
201617,Academic year,National,E92000001,England,Undergraduate,Degree Class,Other Degree Class,z,z
201617,Academic year,National,E92000001,England,Undergraduate,Degree Class,Total Known Degree Class,z,z
201718,Academic year,National,E92000001,England,Postgraduate,Total,Primary,12500,100
201718,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Male,2517,20
201718,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Female,9981,80
201718,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Other Sex,0,0
