time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
202122,Academic year,National,E92000001,England,Physics,Total,Total Postgraduates,539,100
202122,Academic year,National,E92000001,England,Religious Education,Total,Postgraduates in scope of target,431,z
202122,Academic year,National,E92000001,England,Religious Education,Target,Postgraduate ITT Target,470,92
202122,Academic year,National,E92000001,England,Religious Education,Total,Total Postgraduates,446,100
202122,Academic year,National,E92000001,England,Primary,Total,Postgraduates in scope of target,14001,z
202122,Academic year,National,E92000001,England,Primary,Target,Postgraduate ITT Target,10800,130
202122,Academic year,National,E92000001,England,Primary,Total,Total Postgraduates,14192,100
202122,Academic year,National,E92000001,England,Secondary,Total,Postgraduates in scope of target,15852,z
202122,Academic year,National,E92000001,England,Secondary,Target,Postgraduate ITT Target,20230,78
202122,Academic year,National,E92000001,England,Secondary,Total,Total Postgraduates,16091,100
202122,Academic year,National,E92000001,England,STEM Subjects,Total,Postgraduates in scope of target,5565,z
202122,Academic year,National,E92000001,England,STEM Subjects,Target,Postgraduate ITT Target,8070,69
202122,Academic year,National,E92000001,England,STEM Subjects,Total,Total Postgraduates,5609,100
202122,Academic year,National,E92000001,England,Total,Total,Postgraduates in scope of target,29853,z
202122,Academic year,National,E92000001,England,Total,Target,Postgraduate ITT Target,31030,96
202122,Academic year,National,E92000001,England,Total,Total,Total Postgraduates,30283,100
202223,Academic year,National,E92000001,England,Art & Design,Total,Postgraduates in scope of target,465,z
202223,Academic year,National,E92000001,England,Art & Design,Target,Postgraduate ITT Target,530,88
202223,Academic year,National,E92000001,England,Art & Design,Total,Total Postgraduates,488,100
202223,Academic year,National,E92000001,England,Biology,Total,Postgraduates in scope of target,643,z
202223,Academic year,National,E92000001,England,Biology,Target,Postgraduate ITT Target,780,82
202223,Academic year,National,E92000001,England,Biology,Total,Total Postgraduates,675,100
202223,Academic year,National,E92000001,England,Business Studies,Total,Postgraduates in scope of target,223,z
202223,Academic year,National,E92000001,England,Business Studies,Target,Postgraduate ITT Target,635,35
202223,Academic year,National,E92000001,England,Business Studies,Total,Total Postgraduates,253,100
202223,Academic year,National,E92000001,England,Chemistry,Total,Postgraduates in scope of target,735,z
202223,Academic year,National,E92000001,England,Chemistry,Target,Postgraduate ITT Target,885,83
202223,Academic year,National,E92000001,England,Chemistry,Total,Total Postgraduates,767,100
202223,Academic year,National,E92000001,England,Classics,Total,Postgraduates in scope of target,59,z
202223,Academic year,National,E92000001,England,Classics,Target,Postgraduate ITT Target,30,197
202223,Academic year,National,E92000001,England,Classics,Total,Total Postgraduates,64,100
202223,Academic year,National,E92000001,England,Computing,Total,Postgraduates in scope of target,331,z
202223,Academic year,National,E92000001,England,Computing,Target,Postgraduate ITT Target,1145,29
202223,Academic year,National,E92000001,England,Computing,Total,Total Postgraduates,340,100
202223,Academic year,National,E92000001,England,Design & Technology,Total,Postgraduates in scope of target,433,z
