time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,itt_program_type,num_candidates,num_accepted,perc_accepted_candidates_on_route,in_cycle_accepted_candidates,in_cycle_acceptance_rate
202223,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,Total,73,25,6,27,37
202223,Academic year,National,E92000001,England,Design & Technology,PG Total,HEI,542,210,52,259,48
202223,Academic year,National,E92000001,England,Design & Technology,PG Total,SCITT,476,197,48,230,48
202223,Academic year,National,E92000001,England,Design & Technology,PG Total,Total,794,407,100,489,62
202223,Academic year,National,E92000001,England,Design & Technology,Total,HEI,542,210,52,259,48
202223,Academic year,National,E92000001,England,Design & Technology,Total,SCITT,476,197,48,230,48
202223,Academic year,National,E92000001,England,Design & Technology,Total,Total,794,407,100,489,62
202223,Academic year,National,E92000001,England,Drama,PG fee-funded,HEI,538,227,66,276,51
202223,Academic year,National,E92000001,England,Drama,PG fee-funded,SCITT,260,106,31,133,51
202223,Academic year,National,E92000001,England,Drama,PG fee-funded,Total,647,333,97,409,63
202223,Academic year,National,E92000001,England,Drama,PG Salaried PGTA,HEI,2,0,0,x,x
202223,Academic year,National,E92000001,England,Drama,PG Salaried PGTA,SCITT,38,4,1,5,13
202223,Academic year,National,E92000001,England,Drama,PG Salaried PGTA,Total,38,4,1,5,13
202223,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,HEI,6,1,0,x,x
202223,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,SCITT,14,5,1,x,x
202223,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,Total,18,6,2,x,x
202223,Academic year,National,E92000001,England,Drama,PG Total,HEI,544,228,66,277,51
202223,Academic year,National,E92000001,England,Drama,PG Total,SCITT,289,115,34,144,50
202223,Academic year,National,E92000001,England,Drama,PG Total,Total,676,343,100,421,62
202223,Academic year,National,E92000001,England,Drama,Total,HEI,544,228,66,277,51
202223,Academic year,National,E92000001,England,Drama,Total,SCITT,289,115,34,144,50
202223,Academic year,National,E92000001,England,Drama,Total,Total,676,343,100,421,62
202223,Academic year,National,E92000001,England,English,PG fee-funded,HEI,2456,963,66,1197,49
202223,Academic year,National,E92000001,England,English,PG fee-funded,SCITT,1038,357,24,436,42
202223,Academic year,National,E92000001,England,English,PG fee-funded,Total,2855,1320,90,1633,57
202223,Academic year,National,E92000001,England,English,PG Salaried PGTA,HEI,37,6,0,6,16
202223,Academic year,National,E92000001,England,English,PG Salaried PGTA,SCITT,263,68,5,71,27
